    INFO | test_cases.py | Line19 | 2022-09-06 14:51:00,485 | 测试用例#3 油价-不写省份开始执行
    INFO | simple_requests.py | Line21 | 2022-09-06 14:51:01,001 | 正在处理POST请求
   DEBUG | connectionpool.py | Line971 | 2022-09-06 14:51:01,001 | Starting new HTTPS connection (1): jmoliquery.api.bdymkt.com:443
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:51:01,235 | https://jmoliquery.api.bdymkt.com:443 "POST /oil/price-today/query HTTP/1.1" 400 0
    INFO | simple_requests.py | Line38 | 2022-09-06 14:51:01,235 | 返回状态码不符400!=200
    INFO | simple_requests.py | Line42 | 2022-09-06 14:51:01,235 | 不存在指定的字符串模式[prov.*黑龙江]
    INFO | test_cases.py | Line19 | 2022-09-06 14:51:01,251 | 测试用例#1 天气-正确城市开始执行
    INFO | simple_requests.py | Line18 | 2022-09-06 14:51:01,766 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 14:51:01,766 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 14:51:02,313 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%8C%97%E4%BA%AC%E5%B8%82 HTTP/1.1" 200 408
    INFO | test_cases.py | Line23 | 2022-09-06 14:51:02,313 | 测试用例#1 天气-正确城市执行完毕
